timestamp,evento,latencia_ms,espera_cola_ms
2026-06-03 20:00:00.000000,HIT,4.14,0.0
2026-06-03 20:00:00.017040,HIT,4.87,17.04
2026-06-03 20:00:00.034080,HIT,4.08,34.09
2026-06-03 20:00:00.051120,HIT,4.89,51.13
2026-06-03 20:00:00.068160,HIT,5.19,68.17
2026-06-03 20:00:00.085200,HIT,3.53,85.22
2026-06-03 20:00:00.102240,MISS,44.12,102.26
2026-06-03 20:00:00.119280,HIT,3.39,119.3
2026-06-03 20:00:00.136320,HIT,3.86,136.34
2026-06-03 20:00:00.153360,HIT,5.05,153.39
2026-06-03 20:00:00.170400,HIT,4.9,170.43
2026-06-03 20:00:00.187440,HIT,4.98,187.47
2026-06-03 20:00:00.204480,HIT,3.55,204.52
2026-06-03 20:00:00.221520,MISS,43.74,221.56
2026-06-03 20:00:00.238560,HIT,5.08,238.6
2026-06-03 20:00:00.255600,MISS,47.98,255.65
2026-06-03 20:00:00.272640,HIT,3.91,272.69
2026-06-03 20:00:00.289680,HIT,4.8,289.73
2026-06-03 20:00:00.306720,HIT,3.75,306.77
2026-06-03 20:00:00.323760,HIT,4.64,323.82
2026-06-03 20:00:00.340800,HIT,3.15,340.86
2026-06-03 20:00:00.357840,MISS,23.26,357.9
2026-06-03 20:00:00.374880,HIT,5.04,374.95
2026-06-03 20:00:00.391920,HIT,4.16,391.99
2026-06-03 20:00:00.408960,HIT,4.8,409.03
2026-06-03 20:00:00.426000,HIT,4.28,426.07
2026-06-03 20:00:00.443040,HIT,4.0,443.12
2026-06-03 20:00:00.460080,MISS,57.7,460.16
2026-06-03 20:00:00.477120,MISS,52.25,477.2
2026-06-03 20:00:00.494160,HIT,4.72,494.25
2026-06-03 20:00:00.511200,MISS,48.06,511.29
2026-06-03 20:00:00.528240,HIT,3.24,528.33
2026-06-03 20:00:00.545280,MISS,60.86,545.38
2026-06-03 20:00:00.562320,HIT,5.54,562.42
2026-06-03 20:00:00.579360,HIT,4.05,579.46
2026-06-03 20:00:00.596400,HIT,5.84,596.5
2026-06-03 20:00:00.613440,HIT,4.8,613.55
2026-06-03 20:00:00.630480,HIT,5.87,630.59
2026-06-03 20:00:00.647520,HIT,5.09,647.63
2026-06-03 20:00:00.664560,HIT,4.09,664.68
2026-06-03 20:00:00.681600,HIT,4.15,681.72
2026-06-03 20:00:00.698640,HIT,4.33,698.76
2026-06-03 20:00:00.715680,HIT,3.23,715.81
2026-06-03 20:00:00.732720,HIT,3.38,732.85
2026-06-03 20:00:00.749760,MISS,56.5,749.89
2026-06-03 20:00:00.766800,HIT,5.15,766.93
2026-06-03 20:00:00.783840,HIT,5.44,783.98
2026-06-03 20:00:00.800880,HIT,5.44,801.02
2026-06-03 20:00:00.817920,HIT,3.19,818.06
2026-06-03 20:00:00.834960,HIT,3.79,835.11
2026-06-03 20:00:00.852000,HIT,3.76,852.15
2026-06-03 20:00:00.869040,HIT,4.41,869.19
2026-06-03 20:00:00.886080,HIT,3.03,886.24
2026-06-03 20:00:00.903120,MISS,18.65,903.28
2026-06-03 20:00:00.920160,HIT,3.45,920.32
2026-06-03 20:00:00.937200,MISS,37.71,937.36
2026-06-03 20:00:00.954240,HIT,4.84,954.41
2026-06-03 20:00:00.971280,HIT,5.23,971.45
2026-06-03 20:00:00.988320,HIT,5.29,988.49
2026-06-03 20:00:01.005360,HIT,4.96,1005.54
2026-06-03 20:00:01.022400,HIT,3.74,1022.58
2026-06-03 20:00:01.039440,HIT,3.03,1039.62
2026-06-03 20:00:01.056480,HIT,3.36,1056.67
2026-06-03 20:00:01.073520,MISS,20.39,1073.71
2026-06-03 20:00:01.090560,HIT,5.69,1090.75
2026-06-03 20:00:01.107600,MISS,50.25,1107.79
2026-06-03 20:00:01.124640,HIT,3.19,1124.84
2026-06-03 20:00:01.141680,HIT,5.42,1141.88
2026-06-03 20:00:01.158720,HIT,3.81,1158.92
2026-06-03 20:00:01.175760,HIT,4.35,1175.97
2026-06-03 20:00:01.192800,HIT,4.47,1193.01
2026-06-03 20:00:01.209840,HIT,3.25,1210.05
2026-06-03 20:00:01.226880,HIT,5.82,1227.1
2026-06-03 20:00:01.243920,HIT,5.04,1244.14
2026-06-03 20:00:01.260960,HIT,4.7,1261.18
2026-06-03 20:00:01.278000,HIT,3.87,1278.22
2026-06-03 20:00:01.295040,MISS,64.97,1295.27
2026-06-03 20:00:01.312080,HIT,5.83,1312.31
2026-06-03 20:00:01.329120,HIT,4.78,1329.35
2026-06-03 20:00:01.346160,HIT,5.27,1346.4
2026-06-03 20:00:01.363200,MISS,34.62,1363.44
2026-06-03 20:00:01.380240,MISS,63.87,1380.48
2026-06-03 20:00:01.397280,HIT,5.13,1397.53
2026-06-03 20:00:01.414320,MISS,75.06,1414.57
2026-06-03 20:00:01.431360,HIT,4.28,1431.61
2026-06-03 20:00:01.448400,HIT,4.93,1448.66
