timestamp,evento,latencia_ms,espera_cola_ms
2026-06-03 20:00:00.000000,MISS,49.24,0.0
2026-06-03 20:00:00.029000,HIT,4.85,0.0
2026-06-03 20:00:00.058000,HIT,3.63,0.0
2026-06-03 20:00:00.087000,MISS,56.64,0.0
2026-06-03 20:00:00.116000,HIT,3.43,0.0
2026-06-03 20:00:00.145000,HIT,5.68,0.0
2026-06-03 20:00:00.174000,HIT,5.38,0.0
2026-06-03 20:00:00.203000,MISS,16.57,0.0
2026-06-03 20:00:00.232000,HIT,5.39,0.0
2026-06-03 20:00:00.261000,MISS,23.07,0.0
2026-06-03 20:00:00.290000,HIT,3.54,0.0
2026-06-03 20:00:00.319000,HIT,3.24,0.0
2026-06-03 20:00:00.348000,HIT,5.15,0.0
2026-06-03 20:00:00.377000,MISS,42.95,0.0
2026-06-03 20:00:00.406000,HIT,4.7,0.0
2026-06-03 20:00:00.435000,HIT,4.88,0.0
2026-06-03 20:00:00.464000,HIT,3.66,0.0
2026-06-03 20:00:00.493000,MISS,76.52,0.0
2026-06-03 20:00:00.522000,MISS,31.04,0.0
2026-06-03 20:00:00.551000,HIT,5.52,0.0
2026-06-03 20:00:00.580000,HIT,3.61,0.0
2026-06-03 20:00:00.609000,HIT,4.05,0.0
2026-06-03 20:00:00.638000,HIT,4.3,0.0
2026-06-03 20:00:00.667000,HIT,5.61,0.0
2026-06-03 20:00:00.696000,HIT,3.44,0.0
2026-06-03 20:00:00.725000,HIT,3.21,0.0
2026-06-03 20:00:00.754000,HIT,5.72,0.0
2026-06-03 20:00:00.783000,MISS,31.48,0.0
2026-06-03 20:00:00.812000,HIT,4.19,0.0
2026-06-03 20:00:00.841000,HIT,3.89,0.0
2026-06-03 20:00:00.870000,HIT,4.9,0.0
2026-06-03 20:00:00.899000,HIT,4.82,0.0
2026-06-03 20:00:00.928000,HIT,4.72,0.0
2026-06-03 20:00:00.957000,MISS,18.1,0.0
2026-06-03 20:00:00.986000,HIT,3.16,0.0
2026-06-03 20:00:01.015000,HIT,3.02,0.0
2026-06-03 20:00:01.044000,HIT,4.49,0.0
2026-06-03 20:00:01.073000,HIT,4.41,0.0
2026-06-03 20:00:01.102000,HIT,5.82,0.0
2026-06-03 20:00:01.131000,HIT,5.39,0.0
2026-06-03 20:00:01.160000,HIT,3.89,0.0
